video_id,transcript_entries,chunk_entries
GH3lrOsU3AU,2012,179
FgnelhEJFj0,1520,132
8lgiOLMMKcY,1245,108
YuxVHZ88hfg,1245,113
q-p36Ak6YI8,1832,170
nMrGK5QgPVE,2028,195
ifpqpB1ksGc,1683,151
q4Mb4SN-doo,1101,100
lre6h7vqz7A,992,92
8UIcSgyekvs,283,26
pA9S1mTqAwU,745,69
ATchkIRsH4g,58,6
E0cAqBWfJYY,145,16
a86iTyxnFE4,285,30
8KH6AS2PqWk,172,18
TdVEOzSoUCs,345,39
GzPV_HTmCkc,125,13
PVpBGs_iSjY,256,26
4juoo_jk96U,165,18
R6L8PZ-7bGo,123,14
C5AWdL3kg1Q,247,22
ptByfB_YcEg,563,50
yb3nYGuIL4c,122,11
VRprIm9-VV8,666,69
OWqinqemCmk,373,31
XapKKBUMQ4M,752,84
BG8MlbidatA,213,25
BQN0TOi2Rew,639,71
qGFAX5ra1G8,120,12
9BJppvgLINc,28,3
gP2ZOsG9Umg,48,5
H2oq5GSCKhM,34,4
z5NqDcaBglY,29,4
hrMrqRgZryg,25,3
cHrphSoRBX4,33,4
nuk7_soKMUA,36,5
Tq9Vbm_2z3o,256,25
TQ_ck6Q9gSQ,384,47
H4M55Ptc5cM,317,35
CRfg7tAsnUU,406,52
8wrArv0DEKc,28,4
Q75JgLEXMsM,348,33
ozCpmkbJNJE,371,36
olvem333Bqo,294,28
qz316T3U49Q,192,20
HObjFso2UJE,50,5
vkTiVwwch6A,158,18
1lgbR5wMvsI,303,30
cX2vO1q2BGE,191,17
4lX6sbdrs84,302,26
TM5WxZ9EqoQ,159,14
VX-jMVN5ZQI,165,15
ZV905K81sE4,284,29
ZdbIk8AltDU,590,50
qiWmCV0Knl0,104,10
APMrUnC_dy0,148,14
bpxi6fKcyLw,531,54
fdIV4xCsp0c,471,47
yTKGSqkhgI4,194,19
yTO5sRw6x78,565,57
LlXclbD3pms,428,46
IB6jePK1s58,455,46
E9O0Tg68PPg,579,66
6ulnHtJPCWY,819,91
lxpW2mR7dGk,381,44
vMHve2EyA5M,516,61
nQda9etJWW8,894,109
TW9M5VE8vpo,302,28
tyBRP_WewXA,403,36
qqZU8nBtH90,1721,147
rv43YJQsZIw,1493,132
YmllO3ld5LE,1472,131
2jM7t-NTZxs,1326,125
27GDodBA4ls,205,20
uAR4BhVCNbI,274,25
