video_id,error_type,error_message,timestamp
koVhHl8BWFY,Transcript_Fetch_Error,"An unexpected error occurred while fetching transcript: ('Connection broken: IncompleteRead(5296 bytes read, 4944 more expected)', IncompleteRead(5296 bytes read, 4944 more expected))",2025-07-27T18:12:43.309485
r_m4VFEJ8yY,Transcript_Fetch_Error,"An unexpected error occurred while fetching transcript: ('Connection broken: IncompleteRead(7849 bytes read, 2391 more expected)', IncompleteRead(7849 bytes read, 2391 more expected))",2025-07-27T18:14:37.835228
sNSk3ojISh8,Transcript_Fetch_Error,"An unexpected error occurred while fetching transcript: ('Connection broken: IncompleteRead(1208 bytes read, 9032 more expected)', IncompleteRead(1208 bytes read, 9032 more expected))",2025-07-27T18:18:12.766155
j8r2OigKBWE,Transcript_Fetch_Error,"An unexpected error occurred while fetching transcript: 
Could not retrieve a transcript for the video https://www.youtube.com/watch?v=j8r2OigKBWE! This is most likely caused by:

The video is unplayable for the following reason: This video is private

Additional Details:
 - If the owner of this video has granted you access, please 
 - sign in
 - .

If you are sure that the described cause is not responsible for this error and that a transcript should be retrievable, please create an issue at https://github.com/jdepoix/youtube-transcript-api/issues. Please add which version of youtube_transcript_api you are using and provide the information needed to replicate the error. Also make sure that there are no open issues which already describe your problem!",2025-07-27T18:25:46.559457
bkJZDmreIpA,Transcripts_Disabled,Transcripts are disabled.,2025-07-27T18:37:40.851949
jT0JTlPsAQ0,Transcripts_Disabled,Transcripts are disabled.,2025-07-27T19:02:13.505943
TzEKcxJk17o,Transcripts_Disabled,Transcripts are disabled.,2025-07-27T19:02:35.612434
ck0IfiPaQi0,Transcript_Fetch_Error,"An unexpected error occurred while fetching transcript: ('Connection broken: IncompleteRead(1701 bytes read, 5381 more expected)', IncompleteRead(1701 bytes read, 5381 more expected))",2025-07-27T19:04:42.537432
7KFE2ltnBAg,Transcript_Not_Found,No transcript found.,2025-07-27T19:07:26.733161
OUrlxnUAAEA,Transcripts_Disabled,Transcripts are disabled.,2025-07-27T19:07:37.058250
FW_l7lB0HUI,Transcripts_Disabled,Transcripts are disabled.,2025-07-27T19:08:07.270943
Q7ZWPgPnRz8,Transcript_Not_Found,No transcript found.,2025-07-27T19:09:29.863232
sSAqYSk7Br4,Transcripts_Disabled,Transcripts are disabled.,2025-07-27T19:09:53.431456
qGDXEz-cr6M,Transcript_Not_Found,No transcript found.,2025-07-27T19:16:22.183076
_UX8-2WhHZo,Transcript_Not_Found,No transcript found.,2025-07-27T19:22:50.673425
XXBUivsHhec,Transcript_Not_Found,No transcript found.,2025-07-27T19:23:04.721564
deXR2fThYDw,Transcripts_Disabled,Transcripts are disabled.,2025-07-27T19:24:11.152963
